problem_id,category,difficulty,system,expected_verdict,correct,score,kant_covered,mill_covered,nietzsche_covered,camus_covered,answer
prob_005,mathematical_logical_reasoning,hard,majority_vote_baseline,,True,1.0,False,False,False,False,"width 10, length 15 Key checks: 2w + 2(w + 5) = 50, w = 10, length = 15."
prob_005,mathematical_logical_reasoning,hard,full_debate,,True,1.0,False,False,False,False,"width 10, length 15 The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: 2w + 2(w + 5) = 50, w = 10, length = 15."
prob_006,physics_scientific_reasoning,easy,single_agent_baseline,,True,0.983,False,False,False,False,"50 km/h Key checks: speed = distance / time, 150 / 3, 50 km/h."
prob_006,physics_scientific_reasoning,easy,majority_vote_baseline,,True,0.983,False,False,False,False,"50 km/h Key checks: speed = distance / time, 150 / 3, 50 km/h."
prob_006,physics_scientific_reasoning,easy,full_debate,,True,0.983,False,False,False,False,"50 km/h The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: speed = distance / time, 150 / 3, 50 km/h."
prob_007,physics_scientific_reasoning,medium,single_agent_baseline,,True,0.967,False,False,False,False,"25 meters Key checks: starts from rest, s = 1/2 at^2, 0.5 * 2 * 25, 25 m."
prob_007,physics_scientific_reasoning,medium,majority_vote_baseline,,True,0.967,False,False,False,False,"25 meters Key checks: starts from rest, s = 1/2 at^2, 0.5 * 2 * 25, 25 m."
prob_007,physics_scientific_reasoning,medium,full_debate,,True,0.967,False,False,False,False,"25 meters The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: starts from rest, s = 1/2 at^2, 0.5 * 2 * 25, 25 m."
prob_008,physics_scientific_reasoning,medium,single_agent_baseline,,True,0.956,False,False,False,False,"The 2 kg object moving at 6 m/s. Key checks: p = mv, 2 * 6 = 12, 5 * 2 = 10, 2 kg object."
prob_008,physics_scientific_reasoning,medium,majority_vote_baseline,,True,0.956,False,False,False,False,"The 2 kg object moving at 6 m/s. Key checks: p = mv, 2 * 6 = 12, 5 * 2 = 10, 2 kg object."
prob_008,physics_scientific_reasoning,medium,full_debate,,True,0.956,False,False,False,False,"The 2 kg object moving at 6 m/s. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: p = mv, 2 * 6 = 12, 5 * 2 = 10, 2 kg object."
prob_009,physics_scientific_reasoning,medium,single_agent_baseline,,True,0.96,False,False,False,False,"The pressure doubles. Key checks: Boyle's law, constant temperature, inverse relationship, pressure doubles."
prob_009,physics_scientific_reasoning,medium,majority_vote_baseline,,True,0.96,False,False,False,False,"The pressure doubles. Key checks: Boyle's law, constant temperature, inverse relationship, pressure doubles."
prob_009,physics_scientific_reasoning,medium,full_debate,,True,0.96,False,False,False,False,"The pressure doubles. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: Boyle's law, constant temperature, inverse relationship, pressure doubles."
prob_010,physics_scientific_reasoning,hard,single_agent_baseline,,False,0.21,False,False,False,False,"0.4 A"
prob_010,physics_scientific_reasoning,hard,majority_vote_baseline,,True,0.94,False,False,False,False,"1.8 A Key checks: parallel, 12/10 = 1.2 A, 12/20 = 0.6 A, 1.8 A."
prob_010,physics_scientific_reasoning,hard,full_debate,,True,0.94,False,False,False,False,"1.8 A The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: parallel, 12/10 = 1.2 A, 12/20 = 0.6 A, 1.8 A."
prob_011,logic_puzzle_constraint_satisfaction,easy,single_agent_baseline,,True,0.962,False,False,False,False,"No, it does not necessarily follow. Key checks: invalid inference, some flowers, not necessarily roses, does not follow."
prob_011,logic_puzzle_constraint_satisfaction,easy,majority_vote_baseline,,True,0.962,False,False,False,False,"No, it does not necessarily follow. Key checks: invalid inference, some flowers, not necessarily roses, does not follow."
prob_011,logic_puzzle_constraint_satisfaction,easy,full_debate,,True,0.962,False,False,False,False,"No, it does not necessarily follow. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: invalid inference, some flowers, not necessarily roses, does not follow."
prob_012,logic_puzzle_constraint_satisfaction,medium,single_agent_baseline,,True,0.956,False,False,False,False,"Draw from the box labeled Mixed. Key checks: draw from Mixed, label is wrong, single-fruit box, remaining labels forced."
prob_012,logic_puzzle_constraint_satisfaction,medium,majority_vote_baseline,,True,0.956,False,False,False,False,"Draw from the box labeled Mixed. Key checks: draw from Mixed, label is wrong, single-fruit box, remaining labels forced."
prob_012,logic_puzzle_constraint_satisfaction,medium,full_debate,,True,0.956,False,False,False,False,"Draw from the box labeled Mixed. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: draw from Mixed, label is wrong, single-fruit box, remaining labels forced."
prob_013,logic_puzzle_constraint_satisfaction,medium,single_agent_baseline,,False,0.389,False,False,False,False,"Monday"
prob_013,logic_puzzle_constraint_satisfaction,medium,majority_vote_baseline,,True,0.957,False,False,False,False,"Monday or Thursday Key checks: Monday, Thursday, truth day, lie day."
prob_013,logic_puzzle_constraint_satisfaction,medium,full_debate,,True,0.957,False,False,False,False,"Monday or Thursday The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: Monday, Thursday, truth day, lie day."
prob_014,logic_puzzle_constraint_satisfaction,hard,single_agent_baseline,,False,0.214,False,False,False,False,"19 minutes"
prob_014,logic_puzzle_constraint_satisfaction,hard,majority_vote_baseline,,False,0.214,False,False,False,False,"19 minutes"
prob_014,logic_puzzle_constraint_satisfaction,hard,full_debate,,True,0.957,False,False,False,False,"17 minutes The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: 1 and 2 cross, 1 returns, 7 and 10 cross, 2 returns, 17."
prob_015,logic_puzzle_constraint_satisfaction,hard,single_agent_baseline,,True,0.919,False,False,False,False,"2 weighings Key checks: 2 weighings, 3 versus 3, if equal, if not equal."
prob_015,logic_puzzle_constraint_satisfaction,hard,majority_vote_baseline,,True,0.919,False,False,False,False,"2 weighings Key checks: 2 weighings, 3 versus 3, if equal, if not equal."
prob_015,logic_puzzle_constraint_satisfaction,hard,full_debate,,True,0.919,False,False,False,False,"2 weighings The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: 2 weighings, 3 versus 3, if equal, if not equal."
prob_016,strategic_game_theory_reasoning,easy,single_agent_baseline,,True,0.95,False,False,False,False,"Both players defect. Key checks: dominant strategy, defect, Nash equilibrium, both defect."
prob_016,strategic_game_theory_reasoning,easy,majority_vote_baseline,,True,0.95,False,False,False,False,"Both players defect. Key checks: dominant strategy, defect, Nash equilibrium, both defect."
prob_016,strategic_game_theory_reasoning,easy,full_debate,,True,0.95,False,False,False,False,"Both players defect. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: dominant strategy, defect, Nash equilibrium, both defect."
prob_017,strategic_game_theory_reasoning,medium,single_agent_baseline,,True,0.955,False,False,False,False,"Both firms choose Low price. Key checks: Low dominates High, 7 > 5, 2 > 0, Low, Low."
prob_017,strategic_game_theory_reasoning,medium,majority_vote_baseline,,True,0.955,False,False,False,False,"Both firms choose Low price. Key checks: Low dominates High, 7 > 5, 2 > 0, Low, Low."
prob_017,strategic_game_theory_reasoning,medium,full_debate,,True,0.955,False,False,False,False,"Both firms choose Low price. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: Low dominates High, 7 > 5, 2 > 0, Low, Low."
prob_018,strategic_game_theory_reasoning,medium,single_agent_baseline,,True,0.961,False,False,False,False,"Choose rock, paper, and scissors each with probability 1/3. Key checks: mixed strategy, 1/3, rock, paper, scissors."
prob_018,strategic_game_theory_reasoning,medium,majority_vote_baseline,,True,0.961,False,False,False,False,"Choose rock, paper, and scissors each with probability 1/3. Key checks: mixed strategy, 1/3, rock, paper, scissors."
prob_018,strategic_game_theory_reasoning,medium,full_debate,,True,0.961,False,False,False,False,"Choose rock, paper, and scissors each with probability 1/3. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: mixed strategy, 1/3, rock, paper, scissors."
prob_019,strategic_game_theory_reasoning,hard,single_agent_baseline,,True,0.964,False,False,False,False,"Bid your true value. Key checks: second-price auction, truthful bidding, true value, weakly dominant."
prob_019,strategic_game_theory_reasoning,hard,majority_vote_baseline,,True,0.964,False,False,False,False,"Bid your true value. Key checks: second-price auction, truthful bidding, true value, weakly dominant."
prob_019,strategic_game_theory_reasoning,hard,full_debate,,True,0.964,False,False,False,False,"Bid your true value. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: second-price auction, truthful bidding, true value, weakly dominant."
prob_020,strategic_game_theory_reasoning,hard,single_agent_baseline,,False,0.207,False,False,False,False,"The players cooperate until near the end."
prob_020,strategic_game_theory_reasoning,hard,majority_vote_baseline,,True,0.953,False,False,False,False,"The first player stops immediately. Key checks: backward induction, finite game, last mover stops, first player stops."
prob_020,strategic_game_theory_reasoning,hard,full_debate,,True,0.953,False,False,False,False,"The first player stops immediately. The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: backward induction, finite game, last mover stops, first player stops."
prob_021,philosophical_ethical_reasoning,easy,single_agent_baseline,,True,0.932,True,False,False,False,"No. Key checks: no, consent, innocent person, not merely as a means, medical ethics."
prob_021,philosophical_ethical_reasoning,easy,majority_vote_baseline,,True,0.932,True,False,False,False,"No. Key checks: no, consent, innocent person, not merely as a means, medical ethics."
prob_021,philosophical_ethical_reasoning,easy,full_debate,,True,0.932,True,True,True,True,"No. Kant checks duty, consent, autonomy, and dignity; Mill checks welfare, harm, and consequences; Nietzsche challenges hidden values and power assumptions; Camus gives the final limited judgment. Key checks: no, consent, innocent person, not merely as a means, medical ethics."
prob_022,philosophical_ethical_reasoning,medium,single_agent_baseline,,True,0.931,False,True,False,False,"Pull the lever. Key checks: utilitarian, minimize deaths, five versus one, pull the lever."
prob_022,philosophical_ethical_reasoning,medium,majority_vote_baseline,,True,0.931,False,True,False,False,"Pull the lever. Key checks: utilitarian, minimize deaths, five versus one, pull the lever."
prob_022,philosophical_ethical_reasoning,medium,full_debate,,True,0.931,True,True,True,True,"Pull the lever. Kant checks duty, consent, autonomy, and dignity; Mill checks welfare, harm, and consequences; Nietzsche challenges hidden values and power assumptions; Camus gives the final limited judgment. Key checks: utilitarian, minimize deaths, five versus one, pull the lever."
prob_023,philosophical_ethical_reasoning,medium,single_agent_baseline,,True,0.943,True,False,False,False,"No. Key checks: no, lying, rational agency, merely as a means, Kant."
prob_023,philosophical_ethical_reasoning,medium,majority_vote_baseline,,True,0.943,True,False,False,False,"No. Key checks: no, lying, rational agency, merely as a means, Kant."
prob_023,philosophical_ethical_reasoning,medium,full_debate,,True,0.943,True,True,True,True,"No. Kant checks duty, consent, autonomy, and dignity; Mill checks welfare, harm, and consequences; Nietzsche challenges hidden values and power assumptions; Camus gives the final limited judgment. Key checks: no, lying, rational agency, merely as a means, Kant."
prob_024,philosophical_ethical_reasoning,hard,single_agent_baseline,,True,0.927,False,True,False,False,"No. Key checks: no, harm principle, paternalism, self-regarding action, no harm to others."
prob_024,philosophical_ethical_reasoning,hard,majority_vote_baseline,,True,0.927,False,True,False,False,"No. Key checks: no, harm principle, paternalism, self-regarding action, no harm to others."
prob_024,philosophical_ethical_reasoning,hard,full_debate,,True,0.927,True,True,True,True,"No. Kant checks duty, consent, autonomy, and dignity; Mill checks welfare, harm, and consequences; Nietzsche challenges hidden values and power assumptions; Camus gives the final limited judgment. Key checks: no, harm principle, paternalism, self-regarding action, no harm to others."
prob_025,philosophical_ethical_reasoning,hard,single_agent_baseline,,True,0.952,True,True,False,False,"It may sacrifice the minority's rights or dignity for aggregate benefit. Key checks: minority rights, dignity, aggregate benefit, utility aggregation, severe harm."
prob_025,philosophical_ethical_reasoning,hard,majority_vote_baseline,,True,0.952,True,True,False,False,"It may sacrifice the minority's rights or dignity for aggregate benefit. Key checks: minority rights, dignity, aggregate benefit, utility aggregation, severe harm."
prob_025,philosophical_ethical_reasoning,hard,full_debate,,True,0.957,True,True,True,True,"It may sacrifice the minority's rights or dignity for aggregate benefit. Kant checks duty, consent, autonomy, and dignity; Mill checks welfare, harm, and consequences; Nietzsche challenges hidden values and power assumptions; Camus gives the final limited judgment. Key checks: minority rights, dignity, aggregate benefit, utility aggregation, severe harm."
